Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
8,11,27,81,27,4,27,0,3.0,27,2022,2022,1752,1752,107,109,27,27,27,27,27,0,0,0,0,0,0,,,
8,12,27,81,27,4,27,0,3.0,27,2022,2022,1752,1752,133,136,27,27,27,27,27,0,0,0,0,0,0,0,,
8,13,27,81,27,4,27,0,3.0,27,2022,2022,1752,1752,159,163,27,27,27,27,27,0,0,0,0,0,0,0,0,
9,1,0,0,0,5,10,0,5.0,28,200,200,100,100,0,0,10,,,,,,,,,,,,,
9,2,0,0,10,4,10,0,3.0,28,200,200,100,100,0,0,10,10,,,,,,,,,,,,
9,3,0,10,10,4,11,0,3.0,28,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
9,4,0,20,11,4,26,0,3.0,28,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
9,5,0,31,26,4,28,0,3.0,28,878,878,598,598,0,0,28,26,11,10,10,,,,,,,,,
9,6,0,57,28,4,28,0,3.0,28,1564,1564,1284,1284,0,0,28,28,26,11,10,10,,,,,,,,
9,7,20,65,28,4,28,0,3.0,28,1456,1564,1176,1284,18,18,28,28,28,26,11,0,0,,,,,,,
9,8,11,82,28,4,28,0,3.0,28,2022,2022,1742,1742,29,29,28,28,28,28,26,0,0,0,,,,,,
9,9,26,84,28,4,28,0,3.0,28,2090,2090,1810,1810,55,55,28,28,28,28,28,0,0,0,0,,,,,
9,10,28,84,28,4,28,0,3.0,28,2090,2090,1810,1810,82,83,28,28,28,28,28,0,0,0,0,0,,,,
9,11,28,84,28,4,28,0,3.0,28,2090,2090,1810,1810,109,111,28,28,28,28,28,0,0,0,0,0,0,,,
9,12,28,84,28,4,28,0,3.0,28,2090,2090,1810,1810,136,139,28,28,28,28,28,0,0,0,0,0,0,0,,
9,13,28,84,28,4,28,0,3.0,28,2090,2090,1810,1810,163,167,28,28,28,28,28,0,0,0,0,0,0,0,0,
10,1,0,0,0,5,10,0,5.0,29,200,200,100,100,0,0,10,,,,,,,,,,,,,
10,2,0,0,10,4,10,0,3.0,29,200,200,100,100,0,0,10,10,,,,,,,,,,,,
10,3,0,10,10,4,11,0,3.0,29,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
10,4,0,20,11,4,26,0,3.0,29,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
10,5,0,31,26,4,29,0,3.0,29,878,878,588,588,0,0,29,26,11,10,10,,,,,,,,,
10,6,0,57,29,4,29,0,3.0,29,1564,1564,1274,1274,0,0,29,29,26,11,10,10,,,,,,,,
10,7,20,66,29,4,29,0,3.0,29,1459,1564,1169,1274,18,18,29,29,29,26,11,0,0,,,,,,,
10,8,11,84,29,4,29,0,3.0,29,2055,2055,1765,1765,29,29,29,29,29,29,26,0,0,0,,,,,,
10,9,26,87,29,4,29,0,3.0,29,2156,2156,1866,1866,55,55,29,29,29,29,29,0,0,0,0,,,,,
10,10,29,87,29,4,29,0,3.0,29,2156,2156,1866,1866,83,84,29,29,29,29,29,0,0,0,0,0,,,,
10,11,29,87,29,4,29,0,3.0,29,2156,2156,1866,1866,111,113,29,29,29,29,29,0,0,0,0,0,0,,,
10,12,29,87,29,4,29,0,3.0,29,2156,2156,1866,1866,139,142,29,29,29,29,29,0,0,0,0,0,0,0,,
10,13,29,87,29,4,29,0,3.0,29,2156,2156,1866,1866,167,171,29,29,29,29,29,0,0,0,0,0,0,0,0,
11,1,0,0,0,5,10,0,5.0,30,200,200,100,100,0,0,10,,,,,,,,,,,,,
11,2,0,0,10,4,10,0,3.0,30,200,200,100,100,0,0,10,10,,,,,,,,,,,,
11,3,0,10,10,4,11,0,3.0,30,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
11,4,0,20,11,4,26,0,3.0,30,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
11,5,0,31,26,4,30,0,3.0,30,878,878,578,578,0,0,30,26,11,10,10,,,,,,,,,
11,6,0,57,30,4,30,0,3.0,30,1564,1564,1264,1264,0,0,30,30,26,11,10,10,,,,,,,,
11,7,20,67,30,4,30,0,3.0,30,1463,1564,1163,1264,18,18,30,30,30,26,11,0,0,,,,,,,
11,8,11,86,30,4,30,0,3.0,30,2089,2089,1789,1789,29,29,30,30,30,30,26,0,0,0,,,,,,
11,9,26,90,30,4,30,0,3.0,30,2224,2224,1924,1924,55,55,30,30,30,30,30,0,0,0,0,,,,,
11,10,30,90,30,4,30,0,3.0,30,2224,2224,1924,1924,84,85,30,30,30,30,30,0,0,0,0,0,,,,
11,11,30,90,30,4,30,0,3.0,30,2224,2224,1924,1924,113,115,30,30,30,30,30,0,0,0,0,0,0,,,
11,12,30,90,30,4,30,0,3.0,30,2224,2224,1924,1924,142,145,30,30,30,30,30,0,0,0,0,0,0,0,,
11,13,30,90,30,4,30,0,3.0,30,2224,2224,1924,1924,171,175,30,30,30,30,30,0,0,0,0,0,0,0,0,
12,1,0,0,0,5,10,0,5.0,31,200,200,100,100,0,0,10,,,,,,,,,,,,,
12,2,0,0,10,4,10,0,3.0,31,200,200,100,100,0,0,10,10,,,,,,,,,,,,
12,3,0,10,10,4,11,0,3.0,31,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
12,4,0,20,11,4,26,0,3.0,31,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
12,5,0,31,26,4,31,0,3.0,31,878,878,568,568,0,0,31,26,11,10,10,,,,,,,,,
12,6,0,57,31,4,31,0,3.0,31,1564,1564,1254,1254,0,0,31,31,26,11,10,10,,,,,,,,
12,7,20,68,31,4,31,0,3.0,31,1467,1564,1157,1254,18,18,31,31,31,26,11,0,0,,,,,,,
